"Kod";"Nazwa";"Wyszczególnienie";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
012414800000;"PODREGION KATOWICKI";"ogółem";"2021";6417,98;"zł";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2002";2504,79;"zł";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2003";2446,93;"zł";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2004";2504,35;"zł";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2005";2678,63;"zł";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2006";2813,94;"zł";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2007";3046,56;"zł";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2008";3412,84;"zł";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2009";3502,92;"zł";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2010";3725,79;"zł";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2011";4201,50;"zł";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2012";4177,22;"zł";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2013";4379,72;"zł";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2014";4510,10;"zł";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2015";4491,17;"zł";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2016";4480,90;"zł";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2017";4726,02;"zł";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2018";5357,82;"zł";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2019";5699,68;"zł";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2020";5888,55;"zł";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2021";6402,15;"zł";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2002";2115,63;"zł";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2003";2180,51;"zł";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2004";2269,42;"zł";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2005";2360,09;"zł";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2006";2542,30;"zł";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2007";2744,60;"zł";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2008";3054,06;"zł";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2009";3269,87;"zł";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2010";3399,02;"zł";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2011";3604,29;"zł";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2012";3691,92;"zł";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2013";3844,08;"zł";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2014";3969,09;"zł";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2015";4210,86;"zł";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2016";4323,17;"zł";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2017";4568,47;"zł";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2018";4902,57;"zł";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2019";5122,30;"zł";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2020";5361,46;"zł";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2021";5911,69;"zł";"";
012415100000;"PODREGION TYSKI";"ogółem";"2002";2511,80;"zł";"";
012415100000;"PODREGION TYSKI";"ogółem";"2003";2163,01;"zł";"";
