"Kod";"Nazwa";"Transakcje rynkowe";"Powierzchnia użytkowa lokali mieszkalnych";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
023016000000;"PODREGION PILSKI";"ogółem";"ogółem";"2017";3038;"zł";"";
023016000000;"PODREGION PILSKI";"ogółem";"ogółem";"2018";3301;"zł";"";
023016000000;"PODREGION PILSKI";"ogółem";"ogółem";"2019";3599;"zł";"";
023016000000;"PODREGION PILSKI";"ogółem";"ogółem";"2020";4225;"zł";"";
023016000000;"PODREGION PILSKI";"ogółem";"ogółem";"2021";4398;"zł";"";
023016100000;"PODREGION POZNAŃSKI";"ogółem";"ogółem";"2010";3813;"zł";"";
023016100000;"PODREGION POZNAŃSKI";"ogółem";"ogółem";"2011";3803;"zł";"";
023016100000;"PODREGION POZNAŃSKI";"ogółem";"ogółem";"2012";3917;"zł";"";
023016100000;"PODREGION POZNAŃSKI";"ogółem";"ogółem";"2013";3706;"zł";"";
023016100000;"PODREGION POZNAŃSKI";"ogółem";"ogółem";"2014";3748;"zł";"";
023016100000;"PODREGION POZNAŃSKI";"ogółem";"ogółem";"2015";3927;"zł";"";
023016100000;"PODREGION POZNAŃSKI";"ogółem";"ogółem";"2016";3863;"zł";"";
023016100000;"PODREGION POZNAŃSKI";"ogółem";"ogółem";"2017";3834;"zł";"";
023016100000;"PODREGION POZNAŃSKI";"ogółem";"ogółem";"2018";4102;"zł";"";
023016100000;"PODREGION POZNAŃSKI";"ogółem";"ogółem";"2019";4321;"zł";"";
023016100000;"PODREGION POZNAŃSKI";"ogółem";"ogółem";"2020";4557;"zł";"";
023016100000;"PODREGION POZNAŃSKI";"ogółem";"ogółem";"2021";4870;"zł";"";
023016200000;"PODREGION MIASTO POZNAŃ";"ogółem";"ogółem";"2010";5735;"zł";"";
023016200000;"PODREGION MIASTO POZNAŃ";"ogółem";"ogółem";"2011";5859;"zł";"";
023016200000;"PODREGION MIASTO POZNAŃ";"ogółem";"ogółem";"2012";5497;"zł";"";
023016200000;"PODREGION MIASTO POZNAŃ";"ogółem";"ogółem";"2013";5451;"zł";"";
023016200000;"PODREGION MIASTO POZNAŃ";"ogółem";"ogółem";"2014";5581;"zł";"";
023016200000;"PODREGION MIASTO POZNAŃ";"ogółem";"ogółem";"2015";5650;"zł";"";
023016200000;"PODREGION MIASTO POZNAŃ";"ogółem";"ogółem";"2016";5722;"zł";"";
023016200000;"PODREGION MIASTO POZNAŃ";"ogółem";"ogółem";"2017";5897;"zł";"";
023016200000;"PODREGION MIASTO POZNAŃ";"ogółem";"ogółem";"2018";6191;"zł";"";
023016200000;"PODREGION MIASTO POZNAŃ";"ogółem";"ogółem";"2019";6500;"zł";"";
023016200000;"PODREGION MIASTO POZNAŃ";"ogółem";"ogółem";"2020";6895;"zł";"";
023016200000;"PODREGION MIASTO POZNAŃ";"ogółem";"ogółem";"2021";7630;"zł";"";
023216300000;"PODREGION KOSZALIŃSKI";"ogółem";"ogółem";"2010";4034;"zł";"";
023216300000;"PODREGION KOSZALIŃSKI";"ogółem";"ogółem";"2011";3865;"zł";"";
023216300000;"PODREGION KOSZALIŃSKI";"ogółem";"ogółem";"2012";3823;"zł";"";
023216300000;"PODREGION KOSZALIŃSKI";"ogółem";"ogółem";"2013";3605;"zł";"";
023216300000;"PODREGION KOSZALIŃSKI";"ogółem";"ogółem";"2014";3651;"zł";"";
023216300000;"PODREGION KOSZALIŃSKI";"ogółem";"ogółem";"2015";3333;"zł";"";
023216300000;"PODREGION KOSZALIŃSKI";"ogółem";"ogółem";"2016";3546;"zł";"";
023216300000;"PODREGION KOSZALIŃSKI";"ogółem";"ogółem";"2017";3488;"zł";"";
023216300000;"PODREGION KOSZALIŃSKI";"ogółem";"ogółem";"2018";4611;"zł";"";
023216300000;"PODREGION KOSZALIŃSKI";"ogółem";"ogółem";"2019";4536;"zł";"";
023216300000;"PODREGION KOSZALIŃSKI";"ogółem";"ogółem";"2020";5276;"zł";"";
023216300000;"PODREGION KOSZALIŃSKI";"ogółem";"ogółem";"2021";6727;"zł";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"ogółem";"ogółem";"2010";2228;"zł";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"ogółem";"ogółem";"2011";2323;"zł";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"ogółem";"ogółem";"2012";2380;"zł";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"ogółem";"ogółem";"2013";2089;"zł";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"ogółem";"ogółem";"2014";2136;"zł";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"ogółem";"ogółem";"2015";2157;"zł";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"ogółem";"ogółem";"2016";2150;"zł";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"ogółem";"ogółem";"2017";2253;"zł";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"ogółem";"ogółem";"2018";2357;"zł";"";
