"Kod";"Nazwa";"Ogółem";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
012414700000;"PODREGION GLIWICKI";"ogółem";"2016";107;"osoba";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2017";107;"osoba";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2018";107;"osoba";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2019";107;"osoba";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2020";107;"osoba";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2021";108;"osoba";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2002";108;"osoba";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2003";108;"osoba";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2004";109;"osoba";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2005";109;"osoba";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2006";109;"osoba";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2007";109;"osoba";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2008";109;"osoba";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2009";109;"osoba";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2010";109;"osoba";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2011";109;"osoba";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2012";109;"osoba";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2013";109;"osoba";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2014";109;"osoba";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2015";109;"osoba";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2016";109;"osoba";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2017";109;"osoba";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2018";109;"osoba";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2019";109;"osoba";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2020";110;"osoba";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2021";110;"osoba";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2002";104;"osoba";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2003";104;"osoba";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2004";104;"osoba";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2005";104;"osoba";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2006";105;"osoba";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2007";105;"osoba";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2008";105;"osoba";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2009";105;"osoba";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2010";105;"osoba";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2011";105;"osoba";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2012";105;"osoba";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2013";105;"osoba";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2014";105;"osoba";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2015";105;"osoba";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2016";105;"osoba";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2017";105;"osoba";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2018";105;"osoba";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2019";106;"osoba";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2020";106;"osoba";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2021";106;"osoba";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2002";108;"osoba";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2003";108;"osoba";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2004";108;"osoba";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2005";108;"osoba";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2006";109;"osoba";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2007";109;"osoba";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2008";109;"osoba";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2009";109;"osoba";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2010";108;"osoba";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2011";108;"osoba";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2012";109;"osoba";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2013";109;"osoba";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2014";109;"osoba";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2015";109;"osoba";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2016";109;"osoba";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2017";109;"osoba";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2018";109;"osoba";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2019";109;"osoba";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2020";109;"osoba";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2021";110;"osoba";"";
012415100000;"PODREGION TYSKI";"ogółem";"2002";104;"osoba";"";
012415100000;"PODREGION TYSKI";"ogółem";"2003";104;"osoba";"";
012415100000;"PODREGION TYSKI";"ogółem";"2004";105;"osoba";"";
012415100000;"PODREGION TYSKI";"ogółem";"2005";105;"osoba";"";
012415100000;"PODREGION TYSKI";"ogółem";"2006";105;"osoba";"";
012415100000;"PODREGION TYSKI";"ogółem";"2007";105;"osoba";"";
012415100000;"PODREGION TYSKI";"ogółem";"2008";105;"osoba";"";
012415100000;"PODREGION TYSKI";"ogółem";"2009";105;"osoba";"";
012415100000;"PODREGION TYSKI";"ogółem";"2010";105;"osoba";"";
012415100000;"PODREGION TYSKI";"ogółem";"2011";105;"osoba";"";
012415100000;"PODREGION TYSKI";"ogółem";"2012";105;"osoba";"";
012415100000;"PODREGION TYSKI";"ogółem";"2013";105;"osoba";"";
012415100000;"PODREGION TYSKI";"ogółem";"2014";105;"osoba";"";
012415100000;"PODREGION TYSKI";"ogółem";"2015";105;"osoba";"";
012415100000;"PODREGION TYSKI";"ogółem";"2016";105;"osoba";"";
012415100000;"PODREGION TYSKI";"ogółem";"2017";106;"osoba";"";
012415100000;"PODREGION TYSKI";"ogółem";"2018";106;"osoba";"";
012415100000;"PODREGION TYSKI";"ogółem";"2019";106;"osoba";"";
012415100000;"PODREGION TYSKI";"ogółem";"2020";106;"osoba";"";
012415100000;"PODREGION TYSKI";"ogółem";"2021";106;"osoba";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2002";105;"osoba";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2003";105;"osoba";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2004";105;"osoba";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2005";105;"osoba";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2006";105;"osoba";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2007";105;"osoba";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2008";105;"osoba";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2009";105;"osoba";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2010";105;"osoba";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2011";105;"osoba";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2012";105;"osoba";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2013";105;"osoba";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2014";105;"osoba";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2015";105;"osoba";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2016";105;"osoba";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2017";105;"osoba";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2018";105;"osoba";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2019";105;"osoba";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2020";105;"osoba";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2021";105;"osoba";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2002";106;"osoba";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2003";107;"osoba";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2004";107;"osoba";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2005";107;"osoba";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2006";107;"osoba";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2007";107;"osoba";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2008";107;"osoba";"";
