"Kod";"Nazwa";"Transakcje rynkowe";"Powierzchnia użytkowa lokali mieszkalnych";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"ogółem";"2019";3303;"zł";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"ogółem";"2020";3756;"zł";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"ogółem";"2021";4015;"zł";"";
023015700000;"PODREGION KALISKI";"ogółem";"ogółem";"2010";2326;"zł";"";
023015700000;"PODREGION KALISKI";"ogółem";"ogółem";"2011";2497;"zł";"";
023015700000;"PODREGION KALISKI";"ogółem";"ogółem";"2012";2460;"zł";"";
023015700000;"PODREGION KALISKI";"ogółem";"ogółem";"2013";2543;"zł";"";
023015700000;"PODREGION KALISKI";"ogółem";"ogółem";"2014";2536;"zł";"";
023015700000;"PODREGION KALISKI";"ogółem";"ogółem";"2015";2572;"zł";"";
023015700000;"PODREGION KALISKI";"ogółem";"ogółem";"2016";2715;"zł";"";
023015700000;"PODREGION KALISKI";"ogółem";"ogółem";"2017";2765;"zł";"";
023015700000;"PODREGION KALISKI";"ogółem";"ogółem";"2018";3077;"zł";"";
023015700000;"PODREGION KALISKI";"ogółem";"ogółem";"2019";3380;"zł";"";
023015700000;"PODREGION KALISKI";"ogółem";"ogółem";"2020";3685;"zł";"";
023015700000;"PODREGION KALISKI";"ogółem";"ogółem";"2021";4066;"zł";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"ogółem";"2010";2696;"zł";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"ogółem";"2011";2621;"zł";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"ogółem";"2012";2722;"zł";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"ogółem";"2013";2840;"zł";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"ogółem";"2014";2808;"zł";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"ogółem";"2015";2946;"zł";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"ogółem";"2016";3136;"zł";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"ogółem";"2017";3277;"zł";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"ogółem";"2018";3239;"zł";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"ogółem";"2019";3493;"zł";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"ogółem";"2020";3819;"zł";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"ogółem";"2021";4129;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"ogółem";"ogółem";"2010";2305;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"ogółem";"ogółem";"2011";2399;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"ogółem";"ogółem";"2012";2469;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"ogółem";"ogółem";"2013";2481;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"ogółem";"ogółem";"2014";2579;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"ogółem";"ogółem";"2015";2706;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"ogółem";"ogółem";"2016";2796;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"ogółem";"ogółem";"2017";2980;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"ogółem";"ogółem";"2018";3105;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"ogółem";"ogółem";"2019";3293;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"ogółem";"ogółem";"2020";3586;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"ogółem";"ogółem";"2021";3845;"zł";"";
023016000000;"PODREGION PILSKI";"ogółem";"ogółem";"2010";2606;"zł";"";
023016000000;"PODREGION PILSKI";"ogółem";"ogółem";"2011";2450;"zł";"";
023016000000;"PODREGION PILSKI";"ogółem";"ogółem";"2012";2451;"zł";"";
023016000000;"PODREGION PILSKI";"ogółem";"ogółem";"2013";2447;"zł";"";
023016000000;"PODREGION PILSKI";"ogółem";"ogółem";"2014";2447;"zł";"";
023016000000;"PODREGION PILSKI";"ogółem";"ogółem";"2015";2633;"zł";"";
