"Kod";"Nazwa";"Ogółem";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
012414900000;"PODREGION RYBNICKI";"ogółem";"2020";5,6;"%";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2021";4,6;"%";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2022";3,8;"%";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2004";22,7;"%";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2005";20,5;"%";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2006";17,3;"%";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2007";13,8;"%";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2008";9,7;"%";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2009";13,4;"%";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2010";13,6;"%";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2011";13,4;"%";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2012";14,9;"%";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2013";14,7;"%";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2014";12,7;"%";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2015";11,1;"%";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2016";9,5;"%";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2017";7,4;"%";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2018";6,2;"%";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2019";4,8;"%";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2020";6,4;"%";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2021";5,7;"%";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2022";5,1;"%";"";
012415100000;"PODREGION TYSKI";"ogółem";"2004";12,9;"%";"";
012415100000;"PODREGION TYSKI";"ogółem";"2005";11,9;"%";"";
012415100000;"PODREGION TYSKI";"ogółem";"2006";9,7;"%";"";
012415100000;"PODREGION TYSKI";"ogółem";"2007";6,5;"%";"";
012415100000;"PODREGION TYSKI";"ogółem";"2008";3,8;"%";"";
012415100000;"PODREGION TYSKI";"ogółem";"2009";5,4;"%";"";
012415100000;"PODREGION TYSKI";"ogółem";"2010";6,0;"%";"";
012415100000;"PODREGION TYSKI";"ogółem";"2011";6,2;"%";"";
012415100000;"PODREGION TYSKI";"ogółem";"2012";7,1;"%";"";
012415100000;"PODREGION TYSKI";"ogółem";"2013";7,2;"%";"";
012415100000;"PODREGION TYSKI";"ogółem";"2014";5,6;"%";"";
012415100000;"PODREGION TYSKI";"ogółem";"2015";4,6;"%";"";
012415100000;"PODREGION TYSKI";"ogółem";"2016";3,8;"%";"";
012415100000;"PODREGION TYSKI";"ogółem";"2017";3,0;"%";"";
012415100000;"PODREGION TYSKI";"ogółem";"2018";2,8;"%";"";
012415100000;"PODREGION TYSKI";"ogółem";"2019";2,3;"%";"";
012415100000;"PODREGION TYSKI";"ogółem";"2020";3,5;"%";"";
012415100000;"PODREGION TYSKI";"ogółem";"2021";2,8;"%";"";
012415100000;"PODREGION TYSKI";"ogółem";"2022";2,3;"%";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2004";24,3;"%";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2005";21,2;"%";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2006";16,3;"%";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2007";12,2;"%";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2008";10,4;"%";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2009";14,6;"%";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2010";14,3;"%";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2011";14,4;"%";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2012";14,7;"%";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2013";14,6;"%";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2014";10,7;"%";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2015";9,3;"%";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2016";7,8;"%";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2017";5,9;"%";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2018";5,4;"%";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2019";4,6;"%";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2020";5,9;"%";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2021";4,5;"%";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2022";4,0;"%";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2004";26,4;"%";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2005";24,1;"%";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2006";20,8;"%";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2007";15,1;"%";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2008";13,8;"%";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2009";17,2;"%";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2010";16,2;"%";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2011";16,1;"%";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2012";16,8;"%";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2013";16,5;"%";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2014";13,6;"%";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2015";11,3;"%";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2016";9,1;"%";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2017";7,0;"%";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2018";6,1;"%";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2019";5,1;"%";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2020";6,5;"%";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2021";5,4;"%";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2022";4,6;"%";"";
023015700000;"PODREGION KALISKI";"ogółem";"2004";18,0;"%";"";
023015700000;"PODREGION KALISKI";"ogółem";"2005";16,6;"%";"";
023015700000;"PODREGION KALISKI";"ogółem";"2006";13,6;"%";"";
023015700000;"PODREGION KALISKI";"ogółem";"2007";9,0;"%";"";
023015700000;"PODREGION KALISKI";"ogółem";"2008";7,4;"%";"";
023015700000;"PODREGION KALISKI";"ogółem";"2009";10,5;"%";"";
023015700000;"PODREGION KALISKI";"ogółem";"2010";10,4;"%";"";
023015700000;"PODREGION KALISKI";"ogółem";"2011";9,8;"%";"";
023015700000;"PODREGION KALISKI";"ogółem";"2012";10,1;"%";"";
023015700000;"PODREGION KALISKI";"ogółem";"2013";9,8;"%";"";
023015700000;"PODREGION KALISKI";"ogółem";"2014";7,7;"%";"";
023015700000;"PODREGION KALISKI";"ogółem";"2015";5,8;"%";"";
023015700000;"PODREGION KALISKI";"ogółem";"2016";4,6;"%";"";
023015700000;"PODREGION KALISKI";"ogółem";"2017";3,3;"%";"";
023015700000;"PODREGION KALISKI";"ogółem";"2018";2,9;"%";"";
023015700000;"PODREGION KALISKI";"ogółem";"2019";2,8;"%";"";
023015700000;"PODREGION KALISKI";"ogółem";"2020";3,6;"%";"";
023015700000;"PODREGION KALISKI";"ogółem";"2021";3,1;"%";"";
023015700000;"PODREGION KALISKI";"ogółem";"2022";3,1;"%";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"2004";23,5;"%";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"2005";22,1;"%";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"2006";18,6;"%";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"2007";13,5;"%";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"2008";10,8;"%";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"2009";13,8;"%";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"2010";14,3;"%";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"2011";14,3;"%";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"2012";15,3;"%";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"2013";15,5;"%";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"2014";13,2;"%";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"2015";10,9;"%";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"2016";9,2;"%";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"2017";6,8;"%";"";
