"Kod";"Nazwa";"Wiek";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
011212000000;"PODREGION KRAKOWSKI";"30-34";"mężczyźni";"1997";21759;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"mężczyźni";"1998";21948;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"mężczyźni";"1999";21162;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"mężczyźni";"2000";21332;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"mężczyźni";"2001";21512;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"mężczyźni";"2002";21961;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"mężczyźni";"2003";22450;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"mężczyźni";"2004";23138;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"mężczyźni";"2005";23817;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"mężczyźni";"2006";24716;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"mężczyźni";"2007";25560;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"mężczyźni";"2008";26433;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"mężczyźni";"2009";27081;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"mężczyźni";"2010";28511;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"mężczyźni";"2011";28810;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"mężczyźni";"2012";29301;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"mężczyźni";"2013";29925;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"mężczyźni";"2014";30224;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"mężczyźni";"2015";30087;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"mężczyźni";"2016";30021;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"mężczyźni";"2017";29721;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"mężczyźni";"2018";29039;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"mężczyźni";"2019";28316;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"mężczyźni";"2020";28170;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"mężczyźni";"2021";27744;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"mężczyźni";"1995";25729;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"mężczyźni";"1996";25325;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"mężczyźni";"1997";24670;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"mężczyźni";"1998";23755;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"mężczyźni";"1999";22529;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"mężczyźni";"2000";22029;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"mężczyźni";"2001";21594;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"mężczyźni";"2002";21352;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"mężczyźni";"2003";21475;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"mężczyźni";"2004";21559;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"mężczyźni";"2005";21744;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"mężczyźni";"2006";22002;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"mężczyźni";"2007";22519;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"mężczyźni";"2008";23003;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"mężczyźni";"2009";23922;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"mężczyźni";"2010";25710;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"mężczyźni";"2011";26766;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"mężczyźni";"2012";27672;"osoba";"";
