"Kod";"Nazwa";"Świadczenie wychowawcze";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
040410800000;"PODREGION WŁOCŁAWSKI";"wydatki na świadczenia wychowawcze";"2018";220375150;"zł";"";
040410800000;"PODREGION WŁOCŁAWSKI";"wydatki na świadczenia wychowawcze";"2019";274498231;"zł";"";
040410800000;"PODREGION WŁOCŁAWSKI";"wydatki na świadczenia wychowawcze";"2020";340700429;"zł";"";
040410800000;"PODREGION WŁOCŁAWSKI";"wydatki na świadczenia wychowawcze";"2021";337726407;"zł";"";
040416700000;"PODREGION INOWROCŁAWSKI";"wydatki na świadczenia wychowawcze";"2017";235626677;"zł";"";
040416700000;"PODREGION INOWROCŁAWSKI";"wydatki na świadczenia wychowawcze";"2018";222769163;"zł";"";
040416700000;"PODREGION INOWROCŁAWSKI";"wydatki na świadczenia wychowawcze";"2019";287402157;"zł";"";
040416700000;"PODREGION INOWROCŁAWSKI";"wydatki na świadczenia wychowawcze";"2020";362247449;"zł";"";
040416700000;"PODREGION INOWROCŁAWSKI";"wydatki na świadczenia wychowawcze";"2021";359975426;"zł";"";
040416800000;"PODREGION ŚWIECKI";"wydatki na świadczenia wychowawcze";"2017";135629499;"zł";"";
040416800000;"PODREGION ŚWIECKI";"wydatki na świadczenia wychowawcze";"2018";128710880;"zł";"";
040416800000;"PODREGION ŚWIECKI";"wydatki na świadczenia wychowawcze";"2019";162073503;"zł";"";
040416800000;"PODREGION ŚWIECKI";"wydatki na świadczenia wychowawcze";"2020";201834989;"zł";"";
040416800000;"PODREGION ŚWIECKI";"wydatki na świadczenia wychowawcze";"2021";201592240;"zł";"";
042214000000;"PODREGION GDAŃSKI";"wydatki na świadczenia wychowawcze";"2017";486305106;"zł";"";
042214000000;"PODREGION GDAŃSKI";"wydatki na świadczenia wychowawcze";"2018";477926266;"zł";"";
042214000000;"PODREGION GDAŃSKI";"wydatki na świadczenia wychowawcze";"2019";637179123;"zł";"";
042214000000;"PODREGION GDAŃSKI";"wydatki na świadczenia wychowawcze";"2020";820395870;"zł";"";
042214000000;"PODREGION GDAŃSKI";"wydatki na świadczenia wychowawcze";"2021";834223826;"zł";"";
042214100000;"PODREGION SŁUPSKI";"wydatki na świadczenia wychowawcze";"2017";213944025;"zł";"";
042214100000;"PODREGION SŁUPSKI";"wydatki na świadczenia wychowawcze";"2018";202682151;"zł";"";
042214100000;"PODREGION SŁUPSKI";"wydatki na świadczenia wychowawcze";"2019";268973147;"zł";"";
042214100000;"PODREGION SŁUPSKI";"wydatki na świadczenia wychowawcze";"2020";344226064;"zł";"";
042214100000;"PODREGION SŁUPSKI";"wydatki na świadczenia wychowawcze";"2021";345381035;"zł";"";
042214200000;"PODREGION STAROGARDZKI";"wydatki na świadczenia wychowawcze";"2017";302997049;"zł";"";
042214200000;"PODREGION STAROGARDZKI";"wydatki na świadczenia wychowawcze";"2018";287281678;"zł";"";
042214200000;"PODREGION STAROGARDZKI";"wydatki na świadczenia wychowawcze";"2019";372564205;"zł";"";
042214200000;"PODREGION STAROGARDZKI";"wydatki na świadczenia wychowawcze";"2020";471582682;"zł";"";
042214200000;"PODREGION STAROGARDZKI";"wydatki na świadczenia wychowawcze";"2021";470518717;"zł";"";
042214300000;"PODREGION TRÓJMIEJSKI";"wydatki na świadczenia wychowawcze";"2017";327961786;"zł";"";
042214300000;"PODREGION TRÓJMIEJSKI";"wydatki na świadczenia wychowawcze";"2018";318316719;"zł";"";
042214300000;"PODREGION TRÓJMIEJSKI";"wydatki na świadczenia wychowawcze";"2019";515760667;"zł";"";
042214300000;"PODREGION TRÓJMIEJSKI";"wydatki na świadczenia wychowawcze";"2020";737630113;"zł";"";
042214300000;"PODREGION TRÓJMIEJSKI";"wydatki na świadczenia wychowawcze";"2021";744567248;"zł";"";
042217200000;"PODREGION CHOJNICKI";"wydatki na świadczenia wychowawcze";"2017";180162563;"zł";"";
042217200000;"PODREGION CHOJNICKI";"wydatki na świadczenia wychowawcze";"2018";172851387;"zł";"";
042217200000;"PODREGION CHOJNICKI";"wydatki na świadczenia wychowawcze";"2019";214003093;"zł";"";
042217200000;"PODREGION CHOJNICKI";"wydatki na świadczenia wychowawcze";"2020";263880903;"zł";"";
042217200000;"PODREGION CHOJNICKI";"wydatki na świadczenia wychowawcze";"2021";265315519;"zł";"";
042815400000;"PODREGION ELBLĄSKI";"wydatki na świadczenia wychowawcze";"2017";356035598;"zł";"";
042815400000;"PODREGION ELBLĄSKI";"wydatki na świadczenia wychowawcze";"2018";336402147;"zł";"";
042815400000;"PODREGION ELBLĄSKI";"wydatki na świadczenia wychowawcze";"2019";429628027;"zł";"";
042815400000;"PODREGION ELBLĄSKI";"wydatki na świadczenia wychowawcze";"2020";533700776;"zł";"";
042815400000;"PODREGION ELBLĄSKI";"wydatki na świadczenia wychowawcze";"2021";528171161;"zł";"";
042815500000;"PODREGION EŁCKI";"wydatki na świadczenia wychowawcze";"2017";194472691;"zł";"";
042815500000;"PODREGION EŁCKI";"wydatki na świadczenia wychowawcze";"2018";187506533;"zł";"";
042815500000;"PODREGION EŁCKI";"wydatki na świadczenia wychowawcze";"2019";236941751;"zł";"";
042815500000;"PODREGION EŁCKI";"wydatki na świadczenia wychowawcze";"2020";291495286;"zł";"";
042815500000;"PODREGION EŁCKI";"wydatki na świadczenia wychowawcze";"2021";288721323;"zł";"";
042815600000;"PODREGION OLSZTYŃSKI";"wydatki na świadczenia wychowawcze";"2017";378110810;"zł";"";
042815600000;"PODREGION OLSZTYŃSKI";"wydatki na świadczenia wychowawcze";"2018";359088694;"zł";"";
042815600000;"PODREGION OLSZTYŃSKI";"wydatki na świadczenia wychowawcze";"2019";478204223;"zł";"";
042815600000;"PODREGION OLSZTYŃSKI";"wydatki na świadczenia wychowawcze";"2020";609756016;"zł";"";
042815600000;"PODREGION OLSZTYŃSKI";"wydatki na świadczenia wychowawcze";"2021";605553057;"zł";"";
051011500000;"PODREGION ŁÓDZKI";"wydatki na świadczenia wychowawcze";"2017";224184972;"zł";"";
051011500000;"PODREGION ŁÓDZKI";"wydatki na świadczenia wychowawcze";"2018";214423953;"zł";"";
051011500000;"PODREGION ŁÓDZKI";"wydatki na świadczenia wychowawcze";"2019";307948556;"zł";"";
051011500000;"PODREGION ŁÓDZKI";"wydatki na świadczenia wychowawcze";"2020";402375978;"zł";"";
051011500000;"PODREGION ŁÓDZKI";"wydatki na świadczenia wychowawcze";"2021";405782712;"zł";"";
051011600000;"PODREGION MIASTO ŁÓDŹ";"wydatki na świadczenia wychowawcze";"2017";280987417;"zł";"";
051011600000;"PODREGION MIASTO ŁÓDŹ";"wydatki na świadczenia wychowawcze";"2018";267965500;"zł";"";
051011600000;"PODREGION MIASTO ŁÓDŹ";"wydatki na świadczenia wychowawcze";"2019";421951543;"zł";"";
051011600000;"PODREGION MIASTO ŁÓDŹ";"wydatki na świadczenia wychowawcze";"2020";586867270;"zł";"";
051011600000;"PODREGION MIASTO ŁÓDŹ";"wydatki na świadczenia wychowawcze";"2021";583365157;"zł";"";
051011700000;"PODREGION PIOTRKOWSKI";"wydatki na świadczenia wychowawcze";"2017";392491037;"zł";"";
051011700000;"PODREGION PIOTRKOWSKI";"wydatki na świadczenia wychowawcze";"2018";368383141;"zł";"";
051011700000;"PODREGION PIOTRKOWSKI";"wydatki na świadczenia wychowawcze";"2019";477832451;"zł";"";
051011700000;"PODREGION PIOTRKOWSKI";"wydatki na świadczenia wychowawcze";"2020";606125284;"zł";"";
051011700000;"PODREGION PIOTRKOWSKI";"wydatki na świadczenia wychowawcze";"2021";600037192;"zł";"";
051011800000;"PODREGION SIERADZKI";"wydatki na świadczenia wychowawcze";"2017";302098016;"zł";"";
051011800000;"PODREGION SIERADZKI";"wydatki na świadczenia wychowawcze";"2018";283432256;"zł";"";
051011800000;"PODREGION SIERADZKI";"wydatki na świadczenia wychowawcze";"2019";359418520;"zł";"";
051011800000;"PODREGION SIERADZKI";"wydatki na świadczenia wychowawcze";"2020";454966190;"zł";"";
051011800000;"PODREGION SIERADZKI";"wydatki na świadczenia wychowawcze";"2021";450474824;"zł";"";
