"Kod";"Nazwa";"Ogółem";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
012414900000;"PODREGION RYBNICKI";"ogółem";"2010";6,7;"-";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2011";5,9;"-";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2012";6,0;"-";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2013";5,4;"-";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2014";5,7;"-";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2015";5,0;"-";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2016";5,1;"-";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2017";5,1;"-";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2018";4,9;"-";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2019";4,8;"-";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2020";3,8;"-";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2021";4,6;"-";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2022";;"-";"n";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2002";5,0;"-";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2003";5,1;"-";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2004";5,1;"-";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2005";5,4;"-";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2006";5,9;"-";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2007";6,5;"-";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2008";6,7;"-";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2009";6,6;"-";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2010";5,9;"-";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2011";5,1;"-";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2012";5,0;"-";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2013";4,6;"-";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2014";4,4;"-";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2015";4,3;"-";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2016";4,6;"-";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2017";4,4;"-";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2018";4,5;"-";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2019";4,2;"-";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2020";3,4;"-";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2021";3,9;"-";"";
012415000000;"PODREGION SOSNOWIECKI";"ogółem";"2022";;"-";"n";
012415100000;"PODREGION TYSKI";"ogółem";"2002";5,0;"-";"";
012415100000;"PODREGION TYSKI";"ogółem";"2003";5,2;"-";"";
012415100000;"PODREGION TYSKI";"ogółem";"2004";5,4;"-";"";
012415100000;"PODREGION TYSKI";"ogółem";"2005";5,9;"-";"";
012415100000;"PODREGION TYSKI";"ogółem";"2006";6,6;"-";"";
012415100000;"PODREGION TYSKI";"ogółem";"2007";7,0;"-";"";
012415100000;"PODREGION TYSKI";"ogółem";"2008";7,4;"-";"";
012415100000;"PODREGION TYSKI";"ogółem";"2009";7,2;"-";"";
012415100000;"PODREGION TYSKI";"ogółem";"2010";6,9;"-";"";
012415100000;"PODREGION TYSKI";"ogółem";"2011";6,1;"-";"";
012415100000;"PODREGION TYSKI";"ogółem";"2012";5,8;"-";"";
012415100000;"PODREGION TYSKI";"ogółem";"2013";5,5;"-";"";
012415100000;"PODREGION TYSKI";"ogółem";"2014";5,4;"-";"";
012415100000;"PODREGION TYSKI";"ogółem";"2015";5,4;"-";"";
012415100000;"PODREGION TYSKI";"ogółem";"2016";5,4;"-";"";
012415100000;"PODREGION TYSKI";"ogółem";"2017";5,3;"-";"";
012415100000;"PODREGION TYSKI";"ogółem";"2018";5,1;"-";"";
012415100000;"PODREGION TYSKI";"ogółem";"2019";4,8;"-";"";
012415100000;"PODREGION TYSKI";"ogółem";"2020";3,8;"-";"";
012415100000;"PODREGION TYSKI";"ogółem";"2021";4,4;"-";"";
012415100000;"PODREGION TYSKI";"ogółem";"2022";;"-";"n";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2002";4,4;"-";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2003";4,7;"-";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2004";4,4;"-";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2005";4,9;"-";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2006";5,8;"-";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2007";6,5;"-";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2008";6,8;"-";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2009";6,4;"-";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2010";5,9;"-";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2011";5,1;"-";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2012";5,3;"-";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2013";4,5;"-";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2014";4,7;"-";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2015";5,0;"-";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2016";5,2;"-";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2017";5,0;"-";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2018";4,9;"-";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2019";4,7;"-";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2020";3,5;"-";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2021";4,2;"-";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2022";;"-";"n";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2002";4,4;"-";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2003";4,4;"-";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2004";4,4;"-";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2005";4,9;"-";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2006";5,8;"-";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2007";6,6;"-";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2008";7,0;"-";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2009";6,6;"-";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2010";5,7;"-";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2011";5,1;"-";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2012";5,3;"-";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2013";4,8;"-";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2014";4,8;"-";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2015";4,9;"-";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2016";4,9;"-";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2017";4,8;"-";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2018";4,8;"-";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2019";4,4;"-";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2020";3,5;"-";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2021";4,1;"-";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2022";;"-";"n";
