"Kod";"Nazwa";"Wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
012414900000;"PODREGION RYBNICKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2012";;"-";"";
012414900000;"PODREGION RYBNICKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2013";;"-";"";
012414900000;"PODREGION RYBNICKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2014";42;"-";"";
012414900000;"PODREGION RYBNICKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2015";51;"-";"";
012414900000;"PODREGION RYBNICKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2016";56;"-";"";
012414900000;"PODREGION RYBNICKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2017";67;"-";"";
012414900000;"PODREGION RYBNICKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2018";78;"-";"";
012414900000;"PODREGION RYBNICKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2019";80;"-";"";
012414900000;"PODREGION RYBNICKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2020";91;"-";"";
012414900000;"PODREGION RYBNICKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2021";117;"-";"";
012415000000;"PODREGION SOSNOWIECKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2012";;"-";"";
012415000000;"PODREGION SOSNOWIECKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2013";;"-";"";
012415000000;"PODREGION SOSNOWIECKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2014";56;"-";"";
012415000000;"PODREGION SOSNOWIECKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2015";65;"-";"";
012415000000;"PODREGION SOSNOWIECKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2016";86;"-";"";
