"Kod";"Nazwa";"Wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2017";56,1;"m2";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2018";57,2;"m2";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2019";56,0;"m2";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2020";58,4;"m2";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2021";59,2;"m2";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2022";;"m2";"n";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2002";2,9;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2003";3,3;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2004";3,2;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2005";3,2;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2006";3,1;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2007";3,2;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2008";3,1;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2009";2,8;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2010";3,1;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2011";2,9;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2012";2,8;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2013";2,8;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2014";2,7;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2015";2,7;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2016";2,6;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2017";2,6;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2018";2,7;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2019";2,5;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2020";2,7;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2021";2,7;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2022";;"-";"n";
011212100000;"PODREGION MIASTO KRAKÓW";"nowe budynki mieszkalne na 1000 ludności";"2002";;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"nowe budynki mieszkalne na 1000 ludności";"2003";;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"nowe budynki mieszkalne na 1000 ludności";"2004";0,9;"-";"M";
011212100000;"PODREGION MIASTO KRAKÓW";"nowe budynki mieszkalne na 1000 ludności";"2005";0,8;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"nowe budynki mieszkalne na 1000 ludności";"2006";0,8;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"nowe budynki mieszkalne na 1000 ludności";"2007";0,8;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"nowe budynki mieszkalne na 1000 ludności";"2008";0,8;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"nowe budynki mieszkalne na 1000 ludności";"2009";1,0;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"nowe budynki mieszkalne na 1000 ludności";"2010";0,9;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"nowe budynki mieszkalne na 1000 ludności";"2011";0,8;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"nowe budynki mieszkalne na 1000 ludności";"2012";1,0;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"nowe budynki mieszkalne na 1000 ludności";"2013";1,0;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"nowe budynki mieszkalne na 1000 ludności";"2014";0,9;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"nowe budynki mieszkalne na 1000 ludności";"2015";0,9;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"nowe budynki mieszkalne na 1000 ludności";"2016";1,0;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"nowe budynki mieszkalne na 1000 ludności";"2017";1,0;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"nowe budynki mieszkalne na 1000 ludności";"2018";1,0;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"nowe budynki mieszkalne na 1000 ludności";"2019";1,2;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"nowe budynki mieszkalne na 1000 ludności";"2020";1,2;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"nowe budynki mieszkalne na 1000 ludności";"2021";1,2;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"nowe budynki mieszkalne na 1000 ludności";"2022";1,4;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"mieszkania oddane do użytkowania na 1000 ludności";"2002";2,2;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"mieszkania oddane do użytkowania na 1000 ludności";"2003";7,0;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"mieszkania oddane do użytkowania na 1000 ludności";"2004";2,1;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"mieszkania oddane do użytkowania na 1000 ludności";"2005";1,9;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"mieszkania oddane do użytkowania na 1000 ludności";"2006";1,8;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"mieszkania oddane do użytkowania na 1000 ludności";"2007";2,5;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"mieszkania oddane do użytkowania na 1000 ludności";"2008";2,8;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"mieszkania oddane do użytkowania na 1000 ludności";"2009";2,4;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"mieszkania oddane do użytkowania na 1000 ludności";"2010";2,3;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"mieszkania oddane do użytkowania na 1000 ludności";"2011";2,6;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"mieszkania oddane do użytkowania na 1000 ludności";"2012";2,9;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"mieszkania oddane do użytkowania na 1000 ludności";"2013";3,0;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"mieszkania oddane do użytkowania na 1000 ludności";"2014";2,7;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"mieszkania oddane do użytkowania na 1000 ludności";"2015";2,6;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"mieszkania oddane do użytkowania na 1000 ludności";"2016";2,5;"-";"";
